ts_code,display_name,tushare_name,fullname,market,publisher,index_type,category,list_date,exp_date,observation_start_date,first_data_trade_date_all,continuity_start_floor,first_data_trade_date_for_continuity,last_data_trade_date,as_of_trade_date,observed_trade_days,expected_trade_days,missing_trade_days,first_missing_trade_date,last_missing_trade_date
399326.SZ,成长40,成长40,深证成长40指数,SZSE,深圳证券交易所,,主题指数,2006-01-24,,2000-01-01,2006-01-24,2006-01-24,2006-01-24,2026-05-22,2026-05-22,4935,4935,0,,
399328.SZ,深证治理,深证治理,深证治理指数,SZSE,深圳证券交易所,,主题指数,2006-01-24,,2000-01-01,2006-01-24,2006-01-24,2006-01-24,2026-05-22,2026-05-22,4935,4935,0,,
399330.SZ,深证100,深证100,深证100指数,SZSE,深圳证券交易所,,规模指数,2006-01-24,,2000-01-01,2006-01-24,2006-01-24,2006-01-24,2026-05-22,2026-05-22,4935,4935,0,,
399100.SZ,新指数,新指数,深证新指数,SZSE,深圳证券交易所,,综合指数,2006-02-16,,2000-01-01,2006-02-16,2006-02-16,2006-02-16,2026-05-22,2026-05-22,4925,4925,0,,
000902.CSI,中证流通,中证流通,中证流通指数,CSI,中证指数有限公司,,综合指数,2006-02-27,,2000-01-01,2006-01-04,2006-02-27,2006-02-27,2026-05-22,2026-05-22,4918,4918,0,,
000902.SH,中证流通(SH),中证流通(SH),中证流通指数,SSE,中证指数有限公司,,综合指数,2006-02-27,,2000-01-01,2006-01-04,2006-02-27,2006-02-27,2026-05-22,2026-05-22,4918,4918,0,,
000903.SH,中证A100,中证A100,中证A100指数,SSE,中证指数有限公司,,规模指数,2006-05-29,,2000-01-01,2006-01-04,2006-05-29,2006-05-29,2026-05-22,2026-05-22,4858,4858,0,,
399903.SZ,中证A100,中证A100,中证A100指数,SZSE,中证指数有限公司,,规模指数,2006-05-29,,2000-01-01,2006-01-04,2006-05-29,2006-05-29,2026-05-22,2026-05-22,4858,4858,0,,
399354.SZ,分析师指数,分析师指数,新财富最佳分析师指数,SZSE,深圳证券交易所,,策略指数,2006-11-14,,2000-01-01,2006-11-13,2006-11-14,2006-11-14,2026-05-22,2026-05-22,4742,4742,0,,
399333.SZ,中小100R,中小100R,中小企业100全收益指数,SZSE,深圳证券交易所,,规模指数,2006-12-27,,2000-01-01,2006-12-27,2006-12-27,2006-12-27,2026-05-22,2026-05-22,4711,4711,0,,
000905.SH,中证500,中证500,中证小盘500指数,SSE,中证指数有限公司,,规模指数,2007-01-15,,2000-01-01,2005-01-04,2007-01-15,2007-01-15,2026-05-22,2026-05-22,4701,4701,0,,
000906.SH,中证800,中证800,中证800指数,SSE,中证指数有限公司,,规模指数,2007-01-15,,2000-01-01,2005-01-04,2007-01-15,2007-01-15,2026-05-22,2026-05-22,4701,4701,0,,
000907.CSI,中证700,中证700,中证中小盘700指数,CSI,中证指数有限公司,,规模指数,2007-01-15,,2000-01-01,2005-01-04,2007-01-15,2007-01-15,2026-05-22,2026-05-22,4701,4701,0,,
000907.SH,中证700(SH),中证700(SH),中证中小盘700指数,SSE,中证指数有限公司,,规模指数,2007-01-15,,2000-01-01,2005-01-04,2007-01-15,2007-01-15,2026-05-22,2026-05-22,4701,4701,0,,
399905.SZ,中证500,中证500,中证小盘500指数,SZSE,中证指数有限公司,,规模指数,2007-01-15,,2000-01-01,2005-01-04,2007-01-15,2007-01-15,2026-05-22,2026-05-22,4701,4701,0,,
000913.SH,300医药,300医药,沪深300医药卫生指数,SSE,中证指数有限公司,,一级行业指数,2007-07-02,,2000-01-01,2005-01-04,2007-07-02,2007-07-02,2026-05-22,2026-05-22,4591,4591,0,,
000914.SH,300金融,300金融,沪深300金融地产指数,SSE,中证指数有限公司,,主题指数,2007-07-02,,2000-01-01,2005-01-04,2007-07-02,2007-07-02,2026-05-22,2026-05-22,4591,4591,0,,
000915.CSI,沪深300信息,沪深300信息,沪深300信息技术指数,CSI,中证指数有限公司,,一级行业指数,2007-07-02,,2000-01-01,2005-01-04,2007-07-02,2007-07-02,2026-05-22,2026-05-22,4591,4591,0,,
000915.SH,沪深300信息(SH),沪深300信息(SH),沪深300信息技术指数,SSE,中证指数有限公司,,一级行业指数,2007-07-02,,2000-01-01,2005-01-04,2007-07-02,2007-07-02,2026-05-22,2026-05-22,4591,4591,0,,
000916.CSI,沪深300通信,沪深300通信,沪深300通信服务指数,CSI,中证指数有限公司,,一级行业指数,2007-07-02,,2000-01-01,2005-01-04,2007-07-02,2007-07-02,2026-05-22,2026-05-22,4591,4591,0,,
000916.SH,沪深300电信(SH),沪深300电信(SH),沪深300通信服务指数,SSE,中证指数有限公司,,一级行业指数,2007-07-02,,2000-01-01,2005-01-04,2007-07-02,2007-07-02,2026-05-22,2026-05-22,4591,4591,0,,
399355.SZ,CBN长江,CBN长江,CBN长江三角洲指数,SZSE,深圳证券交易所,,主题指数,2007-07-02,,2000-01-01,2007-07-02,2007-07-02,2007-07-02,2026-05-22,2026-05-22,4591,4591,0,,
399356.SZ,CBN珠江,CBN珠江,CBN珠江三角洲指数,SZSE,深圳证券交易所,,主题指数,2007-07-02,,2000-01-01,2007-07-02,2007-07-02,2007-07-02,2026-05-22,2026-05-22,4591,4591,0,,
399357.SZ,CBN渤海,CBN渤海,CBN环渤海地区指数,SZSE,深圳证券交易所,,主题指数,2007-07-02,,2000-01-01,2007-07-02,2007-07-02,2007-07-02,2026-05-22,2026-05-22,4591,4591,0,,
399913.SZ,沪深300医药,沪深300医药,沪深300医药卫生指数,SZSE,中证指数有限公司,,一级行业指数,2007-07-02,,2000-01-01,2005-01-04,2007-07-02,2007-07-02,2026-05-22,2026-05-22,4591,4591,0,,
399914.SZ,沪深300金融,沪深300金融,沪深300金融地产指数,SZSE,中证指数有限公司,,主题指数,2007-07-02,,2000-01-01,2005-01-04,2007-07-02,2007-07-02,2026-05-22,2026-05-22,4591,4591,0,,
000018.SH,180金融,180金融,上证180金融股指数,SSE,中证指数有限公司,,行业指数,2007-12-10,,2000-01-01,2004-01-02,2007-12-10,2007-12-10,2026-05-22,2026-05-22,4481,4481,0,,
000019.SH,治理指数,治理指数,上证公司治理指数,SSE,中证指数有限公司,,主题指数,2008-01-02,,2000-01-01,2007-07-02,2008-01-02,2008-01-02,2026-05-22,2026-05-22,4466,4466,0,,
399358.SZ,国证环保,国证环保,国证环保指数,SZSE,深圳证券交易所,,主题指数,2008-01-02,,2000-01-01,2008-01-02,2008-01-02,2008-01-02,2026-05-22,2026-05-22,4466,4466,0,,
000020.SH,中型综指,中型综指,上证中型企业综合指数,SSE,中证指数有限公司,,规模指数,2008-05-12,,2000-01-01,2007-07-02,2008-05-12,2008-05-12,2026-05-22,2026-05-22,4381,4381,0,,
000922.CSI,中证红利,中证红利,中证红利指数,CSI,中证指数有限公司,,策略指数,2008-05-26,,2000-01-01,2005-01-04,2008-05-26,2008-05-26,2026-05-22,2026-05-22,4371,4371,0,,
000021.SH,180治理,180治理,上证180公司治理指数,SSE,中证指数有限公司,,主题指数,2008-09-10,,2000-01-01,2007-07-02,2008-09-10,2008-09-10,2026-05-22,2026-05-22,4295,4295,0,,
000025.SH,180基建,180基建,上证180基建指数,SSE,中证指数有限公司,,主题指数,2008-12-15,,2000-01-01,2005-01-04,2008-12-15,2008-12-15,2026-05-22,2026-05-22,4233,4233,0,,
000026.SH,180资源,180资源,上证180资源指数,SSE,中证指数有限公司,,主题指数,2008-12-15,,2000-01-01,2005-01-04,2008-12-15,2008-12-15,2026-05-22,2026-05-22,4233,4233,0,,
