probe_scope,request_idx_type,ts_code,trade_date,close,open,high,low,change,pct_change,vol,amount,swing,turnover_rate,category
explicit_idx_type,行业板块,BK1020.DC,20250102,1148.07,1151.8,1169.36,1137.61,-10.86,-0.94,6995866.0,11405919490.0,2.74,24.75,行业板块
explicit_idx_type,行业板块,BK1027.DC,20250102,1742.05,1775.49,1796.15,1726.82,-36.04,-2.03,6723728.0,8564145906.0,3.9,2.99,行业板块
explicit_idx_type,行业板块,BK1028.DC,20250102,1505.64,1536.48,1547.74,1491.75,-31.67,-2.06,6494007.0,4786260810.0,3.64,2.42,行业板块
explicit_idx_type,行业板块,BK1029.DC,20250102,1561.83,1608.62,1610.96,1552.32,-51.65,-3.2,13144305.0,22786763270.0,3.63,1.56,行业板块
explicit_idx_type,行业板块,BK1030.DC,20250102,1762.93,1794.64,1825.37,1745.95,-38.68,-2.15,4732852.0,7997017976.0,4.41,4.22,行业板块
explicit_idx_type,行业板块,BK1031.DC,20250102,1060.41,1083.85,1094.39,1051.06,-27.77,-2.55,15408068.0,20127743232.0,3.98,2.0,行业板块
explicit_idx_type,行业板块,BK1032.DC,20250102,962.89,997.69,998.84,954.86,-33.79,-3.39,4633918.0,4959719764.0,4.41,2.0,行业板块
explicit_idx_type,行业板块,BK1033.DC,20250102,858.6,877.22,887.55,850.5,-16.95,-1.94,8754518.0,21969714487.0,4.23,1.34,行业板块
explicit_idx_type,行业板块,BK1034.DC,20250102,1744.63,1788.23,1797.92,1727.97,-49.49,-2.76,10501938.0,12224662828.0,3.9,3.48,行业板块
explicit_idx_type,行业板块,BK1035.DC,20250102,796.04,796.97,820.44,788.76,-2.4,-0.3,2553520.0,4421761118.0,3.97,2.15,行业板块
explicit_idx_type,行业板块,BK1036.DC,20250102,1295.04,1342.23,1342.84,1279.35,-50.64,-3.76,21430726.0,93882148366.0,4.72,2.8,行业板块
explicit_idx_type,行业板块,BK1037.DC,20250102,1384.72,1414.97,1433.43,1369.06,-38.35,-2.69,23255636.0,45516698722.0,4.52,2.9,行业板块
explicit_idx_type,行业板块,BK1038.DC,20250102,1388.43,1414.55,1438.0,1372.38,-30.13,-2.12,39705180.0,34263357307.0,4.63,3.02,行业板块
explicit_idx_type,行业板块,BK1039.DC,20250102,1458.96,1508.24,1509.15,1444.84,-51.81,-3.43,3012894.0,5440854314.0,4.26,2.15,行业板块
explicit_idx_type,行业板块,BK1040.DC,20250102,1348.03,1369.93,1381.58,1339.09,-28.67,-2.08,11370235.0,10546748682.0,3.09,1.86,行业板块
explicit_idx_type,行业板块,BK1041.DC,20250102,751.39,767.82,772.66,746.32,-16.66,-2.17,5525615.0,12146068860.0,3.43,1.3,行业板块
explicit_idx_type,行业板块,BK1042.DC,20250102,966.75,982.18,994.36,959.78,-16.18,-1.65,3496565.0,3833142458.0,3.52,1.27,行业板块
explicit_idx_type,行业板块,BK1043.DC,20250102,1070.71,1085.13,1101.83,1061.14,-15.24,-1.4,2426947.0,3257574576.0,3.75,1.89,行业板块
explicit_idx_type,行业板块,BK1044.DC,20250102,778.46,792.3,797.79,772.81,-13.31,-1.68,5660086.0,9622300715.0,3.15,1.55,行业板块
explicit_idx_type,行业板块,BK1045.DC,20250102,1086.05,1082.75,1114.79,1076.97,0.48,0.04,5400101.0,2546275220.0,3.48,4.66,行业板块
explicit_idx_type,行业板块,BK1046.DC,20250102,1044.72,1069.13,1078.51,1033.2,-22.93,-2.15,10913976.0,9300954010.0,4.24,3.31,行业板块
