group_id,row_index,probe_scope,request_idx_type,ts_code,trade_date,close,open,high,low,change,pct_change,vol,amount,swing,turnover_rate,category
explicit_idx_type-000024,1,explicit_idx_type,行业板块,BK0429.DC,20250109,8562.16,8547.39,8607.9,8519.29,-26.38,-0.31,4855696.0,5980908894.0,1.03,0.87,行业板块
explicit_idx_type-000024,2,explicit_idx_type,概念板块,BK0429.DC,20250109,8562.16,8547.39,8607.9,8519.29,-26.38,-0.31,4855695.0,5980908894.0,1.03,0.86,概念板块
explicit_idx_type-000025,1,explicit_idx_type,行业板块,BK0429.DC,20250110,8316.21,8544.9,8591.24,8316.21,-245.95,-2.87,6448321.0,6873444509.0,3.21,1.16,行业板块
explicit_idx_type-000025,2,explicit_idx_type,概念板块,BK0429.DC,20250110,8316.21,8544.9,8591.24,8316.21,-245.95,-2.87,6448321.0,6873444509.0,3.21,1.15,概念板块
explicit_idx_type-000026,1,explicit_idx_type,行业板块,BK0429.DC,20250113,8306.09,8221.98,8363.53,8106.1,-10.12,-0.12,5594836.0,5671040407.0,3.1,1.0,行业板块
explicit_idx_type-000026,2,explicit_idx_type,概念板块,BK0429.DC,20250113,8306.09,8221.98,8363.53,8106.1,-10.12,-0.12,5594835.0,5671040407.0,3.1,1.0,概念板块
explicit_idx_type-000027,1,explicit_idx_type,行业板块,BK0429.DC,20250114,8704.98,8343.04,8704.98,8343.04,398.89,4.8,7455654.0,7839422100.0,4.36,1.34,行业板块
explicit_idx_type-000027,2,explicit_idx_type,概念板块,BK0429.DC,20250114,8704.98,8343.04,8704.98,8343.04,398.89,4.8,7455653.0,7839422100.0,4.36,1.33,概念板块
explicit_idx_type-000028,1,explicit_idx_type,行业板块,BK0429.DC,20250115,8671.61,8700.29,8754.99,8642.93,-33.37,-0.38,6252777.0,6972046105.0,1.29,1.12,行业板块
explicit_idx_type-000028,2,explicit_idx_type,概念板块,BK0429.DC,20250115,8671.61,8700.29,8754.99,8642.93,-33.37,-0.38,6252776.0,6972046105.0,1.29,1.11,概念板块
explicit_idx_type-000029,1,explicit_idx_type,行业板块,BK0429.DC,20250116,8720.82,8706.8,8812.38,8631.87,49.21,0.57,6025203.0,6908052726.0,2.08,1.08,行业板块
explicit_idx_type-000029,2,explicit_idx_type,概念板块,BK0429.DC,20250116,8720.82,8706.8,8812.38,8631.87,49.21,0.57,6025202.0,6908052726.0,2.08,1.07,概念板块
explicit_idx_type-000030,1,explicit_idx_type,行业板块,BK0429.DC,20250117,8726.93,8702.02,8754.81,8627.7,6.11,0.07,4583339.0,5496605764.0,1.46,0.82,行业板块
explicit_idx_type-000030,2,explicit_idx_type,概念板块,BK0429.DC,20250117,8726.93,8702.02,8754.81,8627.7,6.11,0.07,4583339.0,5496605764.0,1.46,0.82,概念板块
explicit_idx_type-000031,1,explicit_idx_type,行业板块,BK0429.DC,20250120,8817.39,8776.78,8854.01,8744.16,90.46,1.04,4881173.0,5962117004.0,1.26,0.88,行业板块
