ts_code,year,model,n,brier,log_loss,accuracy,auc,actual_up_rate,mean_probability,p_min,p_max
000001.SH,2021,price_amount,76,0.24739497941467828,0.6879301740521085,0.5526315789473685,0.6045706371191135,0.5,0.5173441162346828,0.46083581307838817,0.5461045721495987
000001.SH,2022,price_amount,242,0.25131268199255824,0.6957804358958676,0.5,0.514051282051282,0.4834710743801653,0.5179345693370917,0.4374851668120255,0.5706861613937759
000001.SH,2023,price_amount,242,0.2520806082064725,0.697329369799044,0.5,0.48752136752136754,0.4834710743801653,0.5226262666694089,0.4811754405177988,0.5745013973763189
000001.SH,2024,price_amount,242,0.24999920603343218,0.6988588212582076,0.5206611570247934,0.5462684527063969,0.512396694214876,0.5317299997278357,0.4464558246345255,0.972262916127652
000001.SH,2025,price_amount,243,0.24743624609647366,0.6880228566949909,0.5679012345679012,0.5172676837725382,0.5761316872427984,0.5229731308553671,0.442335875587828,0.595947568866229
000001.SH,2026,price_amount,164,0.24946102754804747,0.6921056724256377,0.524390243902439,0.5048923679060665,0.5548780487804879,0.5220720263231039,0.451886344362975,0.6011554145621458
000001.SH,2021,price_amount_volume,76,0.24656062157952632,0.6862571767054769,0.5789473684210527,0.6163434903047091,0.5,0.5171529715968944,0.4573479782936378,0.5471917465378524
000001.SH,2022,price_amount_volume,242,0.2511697595050435,0.6954958682652417,0.5165289256198347,0.5156923076923077,0.4834710743801653,0.5178277946457914,0.43833714952922714,0.5718700581795578
000001.SH,2023,price_amount_volume,242,0.25230227618070067,0.6977797912805563,0.5041322314049587,0.4845811965811966,0.4834710743801653,0.5226595042882278,0.4817081112886886,0.5853777867979917
000001.SH,2024,price_amount_volume,242,0.24994177645074894,0.6985456952675153,0.5082644628099173,0.547840349917988,0.512396694214876,0.5317119102431892,0.4351464916555054,0.9710468244959913
000001.SH,2025,price_amount_volume,243,0.24766653188056392,0.6884813007288578,0.5637860082304527,0.5114424410540915,0.5761316872427984,0.5215889483642975,0.4433522434142996,0.5848811506181855
000001.SH,2026,price_amount_volume,164,0.2498940717628604,0.6929745516948116,0.5121951219512195,0.49887099202167695,0.5548780487804879,0.520769425528624,0.4506639257794561,0.5981159193975321
000300.SH,2021,frequency,76,0.2503019214325235,0.6937513883450332,0.5,0.5,0.5,0.5173758865248228,0.5173758865248227,0.5173758865248227
000300.SH,2022,frequency,242,0.2515943427442872,0.6963372722823966,0.4628099173553719,0.5,0.4628099173553719,0.5173758865248228,0.5173758865248227,0.5173758865248227
000300.SH,2023,frequency,242,0.25245595695212963,0.6980611949073052,0.4380165289256198,0.5,0.4380165289256198,0.5173758865248228,0.5173758865248227,0.5173758865248227
000300.SH,2024,frequency,242,0.25058912616847095,0.6943260292200031,0.49173553719008267,0.5,0.49173553719008267,0.5173758865248228,0.5173758865248227,0.5173758865248227
000300.SH,2025,frequency,243,0.24822825596248294,0.6896023866366625,0.5596707818930041,0.5,0.5596707818930041,0.5173758865248228,0.5173758865248227,0.5173758865248227
000300.SH,2026,frequency,164,0.2503019214325235,0.6937513883450332,0.5,0.5,0.5,0.5173758865248228,0.5173758865248227,0.5173758865248227
000300.SH,2021,price,76,0.25007893150985483,0.6933072453065453,0.5394736842105263,0.5173130193905817,0.5,0.5143493703825994,0.49667335823928016,0.5429862623403366
000300.SH,2022,price,242,0.24878629834684365,0.6907160464699437,0.5247933884297521,0.5877747252747253,0.4628099173553719,0.5124801516535307,0.45209720615345683,0.5497830811873118
000300.SH,2023,price,242,0.2519250039469738,0.6970010996726227,0.45867768595041325,0.4839067702552719,0.4380165289256198,0.5106702656660659,0.47832661967328427,0.5489276198989267
000300.SH,2024,price,242,0.2507845778416817,0.6947664109935269,0.4793388429752066,0.5197786431645829,0.49173553719008267,0.51792081952199,0.4493866119477759,0.6535346258179751
000300.SH,2025,price,243,0.24881609783867098,0.6907775162975985,0.5308641975308642,0.4920973062122045,0.5596707818930041,0.5160323449925427,0.46700087060570655,0.553782756897696
000300.SH,2026,price,164,0.24994779871375944,0.6930428376791585,0.49390243902439024,0.5239440809042237,0.5,0.5161047177215015,0.4826229655588863,0.5482096146337655
000300.SH,2021,price_amount,76,0.2502932334508394,0.6937344977130231,0.5263157894736842,0.49930747922437674,0.5,0.5051656015503657,0.4547186482874754,0.543619529201357
000300.SH,2022,price_amount,242,0.24745017344286624,0.6880560058730625,0.5371900826446281,0.6000686813186813,0.4628099173553719,0.5085469165559525,0.38559369831481205,0.5706917854878869
000300.SH,2023,price_amount,242,0.2516076282207797,0.6963804328514834,0.5165289256198347,0.5289261931187569,0.4380165289256198,0.5105182949476479,0.45692014604385084,0.5821537272999322
000300.SH,2024,price_amount,242,0.25004367492407453,0.7025647646037219,0.5247933884297521,0.5620687299309968,0.49173553719008267,0.5232295129136861,0.4366701742983232,0.9886843149502497
000300.SH,2025,price_amount,243,0.2506974041402528,0.6945558972440308,0.5267489711934157,0.4760857614073667,0.5596707818930041,0.5097724123255272,0.43923111571061707,0.5848172215890923
000300.SH,2026,price_amount,164,0.2492771552505556,0.6917053942980111,0.5670731707317073,0.5452111838191552,0.5,0.5108458130169723,0.4234844039299305,0.5587463961476248
000300.SH,2021,price_amount_volume,76,0.250456334982391,0.6940658993409577,0.4868421052631579,0.5048476454293629,0.5,0.506074329499607,0.4625658957176556,0.546183213633995
000300.SH,2022,price_amount_volume,242,0.24768192004618753,0.6885163487273233,0.5454545454545454,0.5841346153846154,0.4628099173553719,0.5101763145628001,0.38260688330208054,0.5804012857288214
000300.SH,2023,price_amount_volume,242,0.250813435822779,0.6947896010917521,0.5330578512396694,0.5416204217536071,0.4380165289256198,0.5096777495003807,0.45295658077799295,0.5819085409900319
000300.SH,2024,price_amount_volume,242,0.24971797151230932,0.7018371497243738,0.5413223140495868,0.5632984901277585,0.49173553719008267,0.5229620687933748,0.4334912285978204,0.9883457352902766
000300.SH,2025,price_amount_volume,243,0.2515953663562617,0.696353757014397,0.49382716049382713,0.45175920835623967,0.5596707818930041,0.5088183152456249,0.4329820912081419,0.5907361565811865
000300.SH,2026,price_amount_volume,164,0.24942983045186695,0.692013239316269,0.524390243902439,0.5327186198691255,0.5,0.5103647800664814,0.41619489200457105,0.5658074415186977
000905.SH,2021,frequency,76,0.2507983356232742,0.694753234431956,0.5131578947368421,0.5,0.5131578947368421,0.544326241134752,0.5443262411347518,0.5443262411347518
000905.SH,2022,frequency,242,0.25233114822449765,0.6978269289043378,0.49586776859504134,0.5,0.49586776859504134,0.544326241134752,0.5443262411347518,0.5443262411347518
000905.SH,2023,frequency,242,0.2519648156531361,0.6970923352568503,0.5,0.5,0.5,0.544326241134752,0.5443262411347518,0.5443262411347518
000905.SH,2024,frequency,242,0.25745980422355985,0.708111239969163,0.4380165289256198,0.5,0.4380165289256198,0.544326241134752,0.5443262411347518,0.5443262411347518
000905.SH,2025,frequency,243,0.2455803776296122,0.6842898492605146,0.5720164609053497,0.5,0.5720164609053497,0.5443262411347519,0.5443262411347518,0.5443262411347518
000905.SH,2026,frequency,164,0.24872143215547135,0.6905884939388511,0.5365853658536586,0.5,0.5365853658536586,0.544326241134752,0.5443262411347518,0.5443262411347518
000905.SH,2021,price,76,0.25231603590135476,0.6978066320348202,0.5,0.4275814275814276,0.5131578947368421,0.5324236827407495,0.49876913976926995,0.571060577164353
000905.SH,2022,price,242,0.25193009015875145,0.6970353607607794,0.512396694214876,0.5051912568306011,0.49586776859504134,0.5340518440396322,0.4680585947810832,0.5921241072583224
000905.SH,2023,price,242,0.251521115853167,0.6961965877257679,0.4834710743801653,0.4752407622430162,0.5,0.5256310143701366,0.4947062243483673,0.5628691633752325
000905.SH,2024,price,242,0.25644412521808335,0.7062217083863347,0.43388429752066116,0.5264289678135405,0.4380165289256198,0.547495629234258,0.4789989452898687,0.704397661530032
000905.SH,2025,price,243,0.24699591052296418,0.687119108111719,0.5596707818930041,0.47710293303818485,0.5720164609053497,0.541682462952211,0.4447346221848633,0.6191442230225734
000905.SH,2026,price,164,0.2533920936595321,0.7000747482497465,0.5182926829268293,0.4258373205741627,0.5365853658536586,0.5522554141054249,0.48160739919616147,0.6152438329774415
000905.SH,2021,price_amount,76,0.2518902938259016,0.696936267110493,0.47368421052631576,0.47955647955647956,0.5131578947368421,0.5260534805642054,0.4771323081769404,0.5615554013672661
000905.SH,2022,price_amount,242,0.25114021074242476,0.6954719509968161,0.5206611570247934,0.5297814207650273,0.49586776859504134,0.5354130157542131,0.4410188125306896,0.6435889772236296
000905.SH,2023,price_amount,242,0.24961571949461253,0.6923514980279833,0.512396694214876,0.5213441704801585,0.5,0.5280567527249175,0.4552614925431102,0.5912948963383515
000905.SH,2024,price_amount,242,0.2568067023801727,0.7076195324022702,0.4462809917355372,0.5385682574916759,0.4380165289256198,0.551359998839628,0.4702480931007719,0.8003822783497814
000905.SH,2025,price_amount,243,0.24659480906018863,0.6862430509028965,0.5473251028806584,0.4813918096292197,0.5720164609053497,0.5421608627408886,0.46557700568889165,0.6610941169621988
000905.SH,2026,price_amount,164,0.2534837581845751,0.700252292803496,0.4878048780487805,0.454694976076555,0.5365853658536586,0.5510900289250582,0.4516019633933688,0.6472471598394851
000905.SH,2021,price_amount_volume,76,0.25123721135680066,0.6956291254412076,0.4605263157894737,0.4968814968814969,0.5131578947368421,0.5251411899657032,0.4781124138265898,0.5634958781267456
000905.SH,2022,price_amount_volume,242,0.25116795034014916,0.6955310327496286,0.512396694214876,0.5299863387978142,0.49586776859504134,0.5348114106809035,0.4392086497036778,0.6436180037404337
000905.SH,2023,price_amount_volume,242,0.24948260617407195,0.6920877969296413,0.5165289256198347,0.5231883068096441,0.5,0.5280355010141785,0.4567153535637139,0.5967872600321402
000905.SH,2024,price_amount_volume,242,0.2566710198681888,0.7074492691739342,0.4462809917355372,0.541412319644839,0.4380165289256198,0.552420345037406,0.45010299250864927,0.8028742123808367
000905.SH,2025,price_amount_volume,243,0.24695266585704045,0.6869712301561897,0.5473251028806584,0.478486441615938,0.5720164609053497,0.5403875978188787,0.4630302886285724,0.6544713363585806
000905.SH,2026,price_amount_volume,164,0.25329933292148654,0.6998652266570465,0.4817073170731707,0.45215311004784686,0.5365853658536586,0.5503397674516012,0.45624489423809855,0.6471658665468636
