ts_code,has_index_basic,name,fullname,market,publisher,index_type,category,base_date,base_point,list_date,weight_rule,desc,exp_date,created_at,updated_at
899304.CSI,t,三板医药,全国中小企业股份转让系统民营医药制造指数,CSI,中证指数有限公司,,主题指数,2018-12-20,1000.0000,2019-01-14,其他,三板医药指数从全国股转系统挂牌民营医药制造类企业中选取研发投入最大的50只股票作为成份股，以反映民营医药制造类企业的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
899305.CSI,t,三板消费,全国中小企业股份转让系统民营消费指数,CSI,中证指数有限公司,,主题指数,2018-12-20,1000.0000,2019-04-22,其他,为进一步完善市场功能、提高市场运行质量，便于投资者参与市场，全国中小企业股份转让系统有限责任公司与中证指数有限公司共同编制全国中小企业股份转让系统民营消费指数，于2019年4月22日正式发布指数行情。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
899306.CSI,t,三板研发,全国中小企业股份转让系统研发指数,CSI,中证指数有限公司,,主题指数,2018-12-20,1000.0000,2019-04-22,其他,为进一步完善市场功能、提高市场运行质量，便于投资者参与市场，全国中小企业股份转让系统有限责任公司与中证指数有限公司共同编制全国中小企业股份转让系统研发指数，于2019年4月22日正式发布指数行情。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
899307.CSI,t,三板活跃,全国中小企业股份转让系统活跃股票指数,CSI,中证指数有限公司,,主题指数,2018-12-20,1000.0000,2019-04-22,其他,为进一步完善市场功能、提高市场运行质量，便于投资者参与市场，全国中小企业股份转让系统有限责任公司与中证指数有限公司共同编制了全国中小企业股份转让系统活跃股票指数，于2019年4月22日正式发布指数行情。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
899601.BJ,t,北证专精特新,北证专精特新指数,OTH,北京证券交易所,,主题指数,2024-06-28,1000.0000,2025-06-30,其他,北证专精特新指数从北京证券交易所（以下简称北交所）专精特新“小巨人”上市公司证券中选取市值最大的50只作为指数样本，以反映北交所专精特新上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930050.CSI,t,中证A50,中证A50指数,CSI,中证指数有限公司,,规模指数,2014-12-31,1000.0000,2024-01-02,其他,中证A50指数从各行业龙头上市公司证券中，选取市值最大的50只证券作为指数样本，以反映各行业最具代表性的龙头上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930598.CSI,t,稀土产业,中证稀土产业指数,CSI,中证指数有限公司,,主题指数,2011-12-31,1000.0000,2015-03-02,其他,中证稀土产业指数选取涉及稀土开采、稀土加工、稀土贸易和稀土应用等业务相关上市公司证券作为样本，以反映稀土产业上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930599.CSI,t,中证高装,中证高端装备制造指数,CSI,中证指数有限公司,,主题指数,2004-12-31,1000.0000,2015-03-02,其他,中证高端装备制造指数从上市公司中，选取通信设备、电力设备、机械制造、航空航天与国防、电子、半导体、乘用车及零部件等行业中具有代表性的公司作为样本，以反映高端装备制造产业公司的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930601.CSI,t,中证软件,中证软件服务指数,CSI,中证指数有限公司,,主题指数,2004-12-31,1000.0000,2015-03-10,其他,中证软件服务指数选取30只业务涉及软件开发、软件服务等领域的上市公司证券作为指数样本，以反映软件服务产业上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930604.CSI,t,中国互联网30,中证海外中国互联网30指数,CSI,中证指数有限公司,,主题指数,2007-06-29,1000.0000,2015-03-23,其他,中证海外中国互联网30指数从香港及其他海外交易所选取30只中国互联网公司证券作为指数样本，以反映境外上市的中国互联网公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930606.CSI,t,中证钢铁,中证钢铁指数,CSI,中证指数有限公司,,主题指数,2008-12-31,1000.0000,2015-03-31,其他,中证钢铁指数选取归属于钢铁行业的相关上市公司证券作为样本，以反映钢铁行业上市公司整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930608.CSI,t,中证基建,中证基建指数,CSI,中证指数有限公司,,主题指数,2004-12-31,1000.0000,2015-03-31,其他,中证基建指数选取50 只基础设施建设、专业工程、工程机械以及房屋建设等基建相关领域上市公司证券作为指数样本，反映基础设施建设类上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930614.CSI,t,环保50,中证环保产业50指数,CSI,中证指数有限公司,,主题指数,2011-12-30,1000.0000,2015-04-07,其他,中证环保产业50指数选取涉及资源管理、清洁技术与产品、污染管理等业务的上市公司证券作为样本，以反映环保产业相关上市公司整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930620.CSI,t,CSSW丝路,中证申万一带一路主题投资指数,CSI,中证指数有限公司,,主题指数,2008-12-31,1000.0000,2015-04-23,其他,中证申万一带一路主题投资指数选取100 只盈利能力较高、盈利成长较强、且盈利较为稳定的参与一带一路建设或与一带一路国家或地区进行进出口贸易的上市公司证券，以反映受益于一带一路主题的代表性上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930621.CSI,t,CSSW高铁,中证申万高铁主题投资指数,CSI,中证指数有限公司,,主题指数,2008-12-31,1000.0000,2015-04-23,其他,中证申万高铁主题投资指数选取涉及高铁基建及配件、高铁整车制造及其配件、高铁信息化与电气化以及高铁营运等业务的100只证券作为样本，以反映高铁产业相关上市公司的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930622.CSI,t,CSSW白酒,中证申万白酒行业投资指数,CSI,中证指数有限公司,,行业指数,2004-12-31,1000.0000,2015-04-23,其他,中证申万白酒行业投资指数选取归属于白酒行业中的50只证券作为样本，以反映白酒行业相关上市公司的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930625.CSI,t,SHS互联网,中证沪港深互联网指数,CSI,中证指数有限公司,,主题指数,2012-06-29,1000.0000,2015-04-21,其他,中证沪港深互联网指数从内地与香港市场中选取50只流动性较好、市值较大的互联网上市公司证券作为指数样本，以反映内地与香港市场互联网主题上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930629.CSI,t,CSSW健康,中证申万新兴健康产业主题投资指数,CSI,中证指数有限公司,,主题指数,2008-12-31,1000.0000,2015-05-08,其他,中证申万新兴健康产业主题投资指数分别从涉及医药健康、医疗健康以及健康服务业务的上市公司中选取20、30以及50只证券作为样本，以反映新兴健康产业相关上市公司的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930632.CSI,t,CS稀金属,中证稀有金属主题指数,CSI,中证指数有限公司,,主题指数,2011-12-31,1000.0000,2015-05-12,其他,中证稀有金属主题指数选取不超过50 家业务涉及稀有金属采矿、冶炼和加工的上市公司证券作为指数样本，以反映稀有金属主题上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930633.CSI,t,中证旅游,中证旅游主题指数,CSI,中证指数有限公司,,主题指数,2008-12-31,1000.0000,2015-05-08,其他,中证旅游主题指数选取不超过50 家业务涉及旅游住宿、旅游游览、旅游购物、旅游娱乐、旅游综合服务、旅游出行、旅游餐饮、旅游地产开发等旅游产业链的上市公司证券作为指数样本，以反映旅游主题上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930640.CSI,t,CSWD重组,中证万得重组主题指数,CSI,中证指数有限公司,,主题指数,2011-12-30,1000.0000,2015-05-08,其他,中证万得重组主题指数在处于资产重组进程或定向增发引入战略投资者阶段的证券中，选择重组涉及交易资产总价值及定向增发金额排名前100名的证券作为样本，以反映重组事件为上市公司带来的影响。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930641.CSI,t,中证中药,中证中药指数,CSI,中证指数有限公司,,主题指数,2004-12-31,1000.0000,2015-05-19,其他,中证中药指数选取涉及中药生产与销售等业务的上市公司证券作为样本，以反映中药概念类上市公司的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930648.CSI,t,CS智消费,中证智能消费主题指数,CSI,中证指数有限公司,,主题指数,2012-06-29,1000.0000,2015-06-05,其他,中证智能消费主题指数选取电信业务、可选消费、信息技术、医药卫生、主要消费等行业内与智能消费相关的公司，包括但不限于智能穿戴、智能家居、互联网医疗、智能汽车，以及其他受益于智能消费发展的代表性证券作为样本，以反映智能消费公司的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930651.CSI,t,CS计算机,中证计算机主题指数,CSI,中证指数有限公司,,主题指数,2004-12-31,1000.0000,2015-06-05,其他,中证计算机主题指数选取涉及信息技术服务、应用软件、系统软件、电脑硬件等业务的上市公司证券作为指数样本，以反映计算机主题上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930652.CSI,t,CS电子,中证电子指数,CSI,中证指数有限公司,,主题指数,2004-12-31,1000.0000,2015-06-05,其他,中证电子指数选取涉及半导体、电脑与外围设备生产、电子设备和消费电子生产等业务的上市公司证券作为样本，以反映电子类相关上市公司整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930653.CSI,t,CS食品饮,中证食品饮料指数,CSI,中证指数有限公司,,主题指数,2004-12-31,1000.0000,2015-06-05,其他,中证食品饮料指数选取归属于酒、饮料、食品行业的上市公司证券作为样本，以反映食品饮料类相关上市公司的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930660.CSI,t,CSSW体育,中证申万体育产业主题投资指数,CSI,中证指数有限公司,,主题指数,2008-12-31,1000.0000,2015-06-24,其他,中证申万体育产业主题投资指数选取涉及体育俱乐部、体育彩票、体育场馆及设施、体育用品以及体育赛事运营及转播等业务的上市公司证券作为样本，以反映体育产业相关上市公司的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
930661.CSI,t,CSSW互金,中证申万互联网金融主题投资指数,CSI,中证指数有限公司,,主题指数,2011-12-30,1000.0000,2015-06-24,其他,中证申万互联网金融主题投资指数选取50只主营业务涉及P2P、移动支付、互联网基金和互联网证券、互联网保险、金融IT、产业金融与供应链金融、征信的证券作为样本，以反映互联网金融领域上市公司的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
