schema_name,table_name,relation_type,estimated_rows,table_bytes,table_size,index_bytes,index_size,toast_bytes,toast_size,total_bytes,total_size
raw_tushare,stk_mins_2010_11,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2010_12,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_01,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_02,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_03,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_04,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_05,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_06,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_07,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_08,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_09,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_10,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_11,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2011_12,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
