trade_date,ts_code,status,row_count_probe,sample_con_code,sample_con_name,error_message
20260618,517770.SH,hit,1,000156.SZ,华数传媒,
20260618,517800.SH,hit,1,00020.HK,商汤-W,
20260618,517850.SH,hit,1,00020.HK,商汤-W,
20260618,517900.SH,hit,1,000001.SZ,平安银行,
20260618,517950.SH,hit,1,002074.SZ,国轩高科,
20260618,517990.SH,hit,1,000538.SZ,云南白药,
20260618,518600.SH,hit,1,SHAU,上海金,
20260618,518660.SH,hit,1,Au9999,黄金9999,
20260618,518680.SH,hit,1,SHAU,上海金,
20260618,518800.SH,hit,1,AU9999,黄金9999,
20260618,518850.SH,hit,1,Au9999,黄金9999,
20260618,518880.SH,hit,1,Au9999,黄金9999,
20260618,518890.SH,hit,1,SHAU,上海金,
20260618,520500.SH,hit,1,00013.HK,和黄医药,
20260618,520510.SH,hit,1,00241.HK,阿里健康,
20260618,520520.SH,hit,1,00142.HK,第一太平,
20260618,520530.SH,hit,1,00020.HK,商汤-W,
20260618,520550.SH,hit,1,00006.HK,电能实业,
20260618,520560.SH,hit,1,00175.HK,吉利汽车,
20260618,520570.SH,hit,1,00020.HK,商汤 - W,
20260618,520580.SH,hit,1,EMAUSD,EMAUSD,
20260618,520590.SH,hit,1,00020.HK,商汤 - W,
20260618,520600.SH,hit,1,00175.HK,吉利汽车,
20260618,520610.SH,hit,1,00001.HK,长和,
20260618,520620.SH,hit,1,00142.HK,第一太平,
20260618,520630.SH,hit,1,00020.HK,商汤-W,
20260618,520650.SH,hit,1,00020.HK,商汤-W,
20260618,520660.SH,hit,1,00038.HK,一拖股份,
20260618,520670.SH,hit,1,00020.HK,商汤 - W,
20260618,520680.SH,hit,1,00175.HK,吉利汽车,
20260618,520690.SH,hit,1,00013.HK,和黄医药,
20260618,520700.SH,hit,1,00013.HK,和黄医药,
20260618,520710.SH,hit,1,00020.HK,商汤-W,
20260618,520720.SH,hit,1,00175.HK,吉利汽车,
20260618,520730.SH,hit,1,00020.HK,商汤 - W,
20260618,520760.SH,hit,1,00013.HK,和黄医药,
20260618,520770.SH,hit,1,00001.HK,长和,
20260618,520780.SH,hit,1,00175.HK,吉利汽车,
20260618,520790.SH,hit,1,00020.HK,商汤-W,
20260618,520810.SH,hit,1,00005.HK,汇丰控股,
20260618,520820.SH,hit,1,00001.HK,长和,
20260618,520840.SH,hit,1,00020.HK,商汤 - W,
20260618,520850.SH,hit,1,00241.HK,阿里健康,
20260618,520860.SH,hit,1,00020.HK,商汤-W,
20260618,520870.SH,hit,1,BOVV11,BOVV11,
20260618,520880.SH,hit,1,00013.HK,和黄医药,
20260618,520890.SH,hit,1,00006.HK,电能实业,
20260618,520900.SH,hit,1,00038.HK,第一拖拉机股份,
20260618,520910.SH,hit,1,00020.HK,商汤-W,
20260618,520920.SH,hit,1,00020.HK,商汤-W,
20260618,520930.SH,hit,1,00013.HK,和黄医药,
20260618,520940.SH,hit,1,00001.HK,长和,
20260618,520950.SH,hit,1,00016.HK,新鸿基地产,
20260618,520960.SH,hit,1,00001.HK,长和,
20260618,520970.SH,hit,1,00013.HK,和黄医药,
20260618,520980.SH,hit,1,00020.HK,商汤 - W,
20260618,520990.SH,hit,1,00038.HK,第一拖拉机股份,
20260618,526000.SH,hit,1,00020.HK,商汤-W,
20260618,526010.SH,hit,1,00241.HK,阿里健康,
20260618,526050.SH,hit,1,00020.HK,商汤-W,
20260618,526070.SH,hit,1,00001.HK,长和,
20260618,530000.SH,hit,1,600028.SH,中国石化,
20260618,530050.SH,hit,1,600028.SH,中国石化,
20260618,530060.SH,hit,1,600000.SH,浦发银行,
20260618,530080.SH,hit,1,600000.SH,浦发银行,
20260618,530100.SH,hit,1,600006.SH,东风股份,
20260618,530180.SH,hit,1,600000.SH,浦发银行,
20260618,530280.SH,hit,1,600000.SH,浦发银行,
20260618,530300.SH,hit,1,600000.SH,浦发银行,
20260618,530380.SH,hit,1,600008.SH,首创环保,
20260618,530530.SH,hit,1,600006.SH,东风股份,
