ts_code,name,fullname,market,publisher,index_type,category,base_date,list_date,trade_date
000100.SH,上证F500,上证基本面500指数,SSE,中证指数有限公司,,策略指数,2004-12-31,2011-07-01,2026-05-07
000102.SH,沪投资品,上证投资品指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2011-06-13,2026-05-07
000103.SH,沪消费品,上证消费品指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2011-06-13,2026-05-07
000104.SH,380能源,上证380能源指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000105.SH,380材料,上证380原材料指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000106.SH,380工业,上证380工业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000107.SH,380可选,上证380可选消费指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000108.SH,380消费,上证380主要消费指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000109.SH,380医药,上证380医药卫生指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000110.SH,380金融,上证380金融指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000111.SH,380信息,上证380信息技术指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000112.SH,380电信,上证380电信业务指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000113.SH,380公用,上证380公用事业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000114.SH,持续产业,上证可持续发展产业主题指数,SSE,中证指数有限公司,,主题指数,2011-06-30,2011-08-22,2026-05-07
000115.SH,380等权,上证380等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2011-08-12,2026-05-07
000117.SH,380成长,上证380成长指数,SSE,中证指数有限公司,,风格指数,2003-12-31,2011-10-18,2026-05-07
000118.SH,380价值,上证380价值指数,SSE,中证指数有限公司,,风格指数,2003-12-31,2011-10-18,2026-05-07
000119.SH,380R成长,上证380相对成长指数,SSE,中证指数有限公司,,风格指数,2003-12-31,2011-10-18,2026-05-07
000120.SH,380R价值,上证380相对价值指数,SSE,中证指数有限公司,,风格指数,2003-12-31,2011-10-18,2026-05-07
000121.SH,医药主题,上证医药主题指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2011-10-18,2026-05-07
000122.SH,上证农业,上证农业主题指数,SSE,中证指数有限公司,,主题指数,2011-06-30,2011-10-18,2026-05-07
000123.SH,上证180动态,上证180动态指数,SSE,中证指数有限公司,,策略指数,2002-06-28,2013-02-08,2026-05-07
000125.SH,上证180稳定,上证180稳定指数,SSE,中证指数有限公司,,策略指数,2002-06-28,2013-02-08,2026-05-07
000126.SH,消费50,上证消费50指数,SSE,中证指数有限公司,,主题指数,2004-12-31,2011-12-09,2026-05-07
000128.SH,380基本,上证380基本面加权指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2012-01-09,2026-05-07
000129.SH,180波动,上证180波动率加权指数,SSE,中证指数有限公司,,策略指数,2002-06-28,2012-01-09,2026-05-07
000130.SH,380波动,上证380波动率加权指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2012-01-09,2026-05-07
000131.SH,上证高新,上证高新技术企业指数,SSE,中证指数有限公司,,主题指数,2011-06-30,2012-02-10,2026-05-07
000132.SH,上证100,上证100指数,SSE,中证指数有限公司,,规模指数,2003-12-31,2012-04-20,2026-05-07
000133.SH,上证150,上证150指数,SSE,中证指数有限公司,,规模指数,2003-12-31,2012-04-20,2026-05-07
000134.SH,上证银行,上证银行股指数,SSE,中证指数有限公司,,主题指数,2007-12-31,2012-05-29,2026-05-07
000135.SH,上证180高贝塔,上证180高贝塔指数,SSE,中证指数有限公司,,策略指数,2002-06-28,2012-08-06,2026-05-07
000136.SH,上证180低贝塔,上证180低贝塔指数,SSE,中证指数有限公司,,策略指数,2002-06-28,2012-08-06,2026-05-07
000137.SH,上证380高贝塔,上证380高贝塔指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2012-08-06,2026-05-07
000138.SH,上证380低贝塔,上证380低贝塔指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2012-08-06,2026-05-07
000141.SH,上证380动态,上证380动态指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2013-02-08,2026-05-07
000142.SH,上证380稳定,上证380稳定指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2013-02-08,2026-05-07
000145.SH,优势资源,上证优势资源产业指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2012-05-29,2026-05-07
000146.SH,优势制造,上证优势制造产业指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2012-05-29,2026-05-07
000147.SH,优势消费,上证优势消费产业指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2012-05-29,2026-05-07
000148.SH,消费领先,上证消费服务领先指数,SSE,中证指数有限公司,,主题指数,2004-12-31,2012-05-29,2026-05-07
000149.SH,上证180红利,上证180红利指数,SSE,中证指数有限公司,,策略指数,2004-12-31,2012-07-20,2026-05-07
000150.SH,上证380红利,上证380红利指数,SSE,中证指数有限公司,,策略指数,2004-12-31,2012-07-20,2026-05-07
000151.SH,上国红利,上证国有企业红利指数,SSE,中证指数有限公司,,策略指数,2009-06-30,2012-07-20,2026-05-07
000152.SH,上证央企红利,上证中央企业红利指数,SSE,中证指数有限公司,,策略指数,2008-12-31,2012-07-20,2026-05-07
000153.SH,上证民企红利,上证民营企业红利指数,SSE,中证指数有限公司,,策略指数,2009-06-30,2012-07-20,2026-05-07
000155.SH,上证市值百强,上证市值百强指数,SSE,中证指数有限公司,,规模指数,2003-12-31,2012-07-20,2026-05-07
000158.SH,上证环保,上证环保产业指数,SSE,中证指数有限公司,,主题指数,2011-12-30,2012-09-25,2026-05-07
000159.SH,沪股通,上证沪股通指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2014-11-17,2026-05-07
000160.SH,沪新丝路,上证一带一路主题指数,SSE,中证指数有限公司,,主题指数,2012-12-31,2015-06-24,2026-05-07
000161.SH,沪中国造,上证中国制造主题指数,SSE,中证指数有限公司,,主题指数,2012-06-29,2015-10-29,2026-05-07
000162.SH,沪互联+,上证互联网+主题指数,SSE,中证指数有限公司,,主题指数,2012-06-29,2015-10-29,2026-05-07
000170.SH,50AH优选,上证50AH优选指数,SSE,中证指数有限公司,,策略指数,2004-12-31,2015-12-10,2026-05-07
000171.CSI,新兴成指,中国战略新兴产业成份指数,CSI,中证指数有限公司,,主题指数,2010-12-31,2017-01-25,2026-05-07
000300.SH,沪深300,沪深300指数,SSE,中证指数有限公司,,规模指数,2004-12-31,2005-04-08,2026-05-07
000510.CSI,中证A500,中证A500指数,CSI,中证指数有限公司,,规模指数,2004-12-31,2024-09-23,2026-05-07
000510.SH,中证A500,中证A500指数,SSE,中证指数有限公司,,规模指数,2004-12-31,2024-09-23,2026-05-07
000680.SH,科创综指,上证科创板综合指数,SSE,中证指数有限公司,,综合指数,2019-12-31,2025-01-20,2026-05-07
000681.SH,科创价格,上证科创板综合价格指数,SSE,中证指数有限公司,,综合指数,2019-12-31,2025-01-20,2026-05-07
000682.SH,科创信息,上证科创板新一代信息技术指数,SSE,中证指数有限公司,,主题指数,2019-12-31,2021-08-16,2026-05-07
000683.SH,科创生物,上证科创板生物医药指数,SSE,中证指数有限公司,,主题指数,2019-12-31,2022-05-09,2026-05-07
000685.SH,科创芯片,上证科创板芯片指数,SSE,中证指数有限公司,,主题指数,2019-12-31,2022-06-13,2026-05-07
000687.SH,科创高装,上证科创板高端装备制造指数,SSE,中证指数有限公司,,主题指数,2019-12-31,2022-08-15,2026-05-07
000688.SH,科创50,上证科创板50成份指数,SSE,中证指数有限公司,,规模指数,2019-12-31,2020-07-23,2026-05-07
000689.SH,科创材料,上证科创板新材料指数,SSE,中证指数有限公司,,主题指数,2019-12-31,2022-08-15,2026-05-07
000690.SH,科创成长,上证科创板成长指数,SSE,中证指数有限公司,,策略指数,2019-12-31,2022-11-04,2026-05-07
000691.SH,科创ESG,上证科创板ESG指数,SSE,中证指数有限公司,,主题指数,2019-12-31,2024-03-21,2026-05-07
000692.SH,科创新能,上证科创板新能源主题指数,SSE,中证指数有限公司,,主题指数,2019-12-31,2023-04-03,2026-05-07
000693.SH,科创机械,上证科创板工业机械指数,SSE,中证指数有限公司,,主题指数,2019-12-31,2023-04-03,2026-05-07
000695.SH,科长三角,上证科创板长三角指数,SSE,中证指数有限公司,,主题指数,2019-12-31,2023-04-03,2026-05-07
000697.SH,科大湾区,上证科创板粤港澳大湾区指数,SSE,中证指数有限公司,,主题指数,2019-12-31,2023-04-03,2026-05-07
000698.SH,科创100,上证科创板100指数,SSE,中证指数有限公司,,规模指数,2019-12-31,2023-08-07,2026-05-07
000699.SH,科创200,上证科创板200指数,SSE,中证指数有限公司,,规模指数,2022-12-30,2024-08-20,2026-05-07
000801.CSI,资源80,中证资源80指数,CSI,中证指数有限公司,,主题指数,2004-12-31,2011-11-08,2026-05-07
000802.SH,500沪市,中证500沪市指数,SSE,中证指数有限公司,,主题指数,2004-12-31,2011-11-08,2026-05-07
000803.CSI,300波动,沪深300波动率加权指数,CSI,中证指数有限公司,,策略指数,2004-12-31,2012-01-09,2026-05-07
000804.CSI,500波动,中证500波动率加权指数,CSI,中证指数有限公司,,策略指数,2004-12-31,2012-01-09,2026-05-07
000805.CSI,A股资源,中证A股资源产业指数,CSI,中证指数有限公司,,主题指数,2004-12-31,2012-01-06,2026-05-07
000806.CSI,消费服务,中证消费服务领先指数,CSI,中证指数有限公司,,主题指数,2004-12-31,2012-02-10,2026-05-07
000807.CSI,食品饮料,中证申万食品饮料指数,CSI,中证指数有限公司,,行业指数,2004-12-31,2012-02-17,2026-05-07
000808.CSI,医药生物,中证申万医药生物指数,CSI,中证指数有限公司,,行业指数,2004-12-31,2012-02-17,2026-05-07
000811.CSI,细分有色,中证细分有色金属产业主题指数,CSI,中证指数有限公司,,主题指数,2004-12-31,2012-04-11,2026-05-07
000811.SH,细分有色(SH),中证细分有色金属产业主题指数,SSE,中证指数有限公司,,主题指数,2004-12-31,2012-04-11,2026-05-07
000812.CSI,细分机械,中证细分机械设备产业主题指数,CSI,中证指数有限公司,,主题指数,2004-12-31,2012-04-11,2026-05-07
