rank_by_30d_vol,ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,matched_days,first_matched_trade_date,latest_matched_trade_date,vol_30d,amount_30d,avg_vol_30d,latest_close,latest_vol,latest_amount,api_name,fetched_at
897,159159.SZ,国投瑞银中证全指公用事业ETF,公用事业ETF国投瑞银,国投瑞银中证全指公用事业交易型开放式指数证券投资基金,000995.CSI,中证全指公用事业指数,2026-02-04,2026-02-12,L,SZ,国投瑞银基金,中国银河证券股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,3067297.0100,338167.6520,102243.233666666667,1.1600,128872.6900,14798.3495,etf_basic,2026-06-03 21:44:08.972707+08
898,159820.SZ,天弘中证500ETF,中证500ETF天弘,天弘中证500交易型开放式指数证券投资基金,000905.SH,中证小盘500指数,2020-08-07,2020-08-24,L,SZ,天弘基金,国泰海通证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3049192.0600,443757.0832,101639.735333333333,1.4320,86372.0000,12417.7156,etf_basic,2026-06-03 21:44:08.972707+08
899,159726.SZ,华夏恒生港股通中国内地企业高股息率ETF,港股通高股息ETF华夏,华夏恒生港股通中国内地企业高股息率交易型开放式指数证券投资基金,HSMCHYI.HI,恒生港股通中国内地企业高股息率指数,2021-11-11,2021-11-23,L,SZ,华夏基金,中国银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3036232.1400,414379.5589,101207.738000000000,1.3730,121134.0000,16609.7771,etf_basic,2026-06-03 21:44:08.972707+08
900,520620.SH,嘉实恒生消费ETF,恒生消费ETF嘉实,嘉实恒生消费交易型开放式指数证券投资基金,HSCGSI.HI,恒生消费指数,2025-08-11,2025-08-19,L,SH,嘉实基金,中国银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3030220.0000,255587.7860,101007.333333333333,0.8360,35820.0000,2981.3390,etf_basic,2026-06-03 21:44:08.972707+08
901,159103.SZ,汇添富中证金融科技主题ETF,金融科技ETF汇添富,汇添富中证金融科技主题交易型开放式指数证券投资基金,930986.CSI,中证金融科技主题指数,2025-08-29,2025-09-10,L,SZ,汇添富基金,中信建投证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3022287.0800,231994.6114,100742.902666666667,0.7120,120685.7000,8677.7168,etf_basic,2026-06-03 21:44:08.972707+08
902,511660.SH,建信现金添益货币H,货币ETF建信,建信现金添益交易型货币市场基金H类,,,2016-09-02,2016-09-21,L,SH,建信基金,国泰海通证券股份有限公司,0.250000,纯境内,30,2026-04-20,2026-06-03,3002553.3400,30026445.0250,100085.111333333333,99.9990,68170.5200,681711.5360,etf_basic,2026-06-03 21:44:08.972707+08
903,551000.SH,博时上证AAA科创债ETF,科创债ETF博时,博时上证AAA科技创新公司债交易型开放式指数证券投资基金,950167.CSI,上证AAA科技创新公司债指数,2025-07-10,2025-07-17,L,SH,博时基金,中信银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,2995897.3500,30305988.1370,99863.245000000000,101.5940,119846.0000,1217397.9000,etf_basic,2026-06-03 21:44:08.972707+08
904,589150.SH,平安上证科创板50成份ETF,科创50ETF平安,平安上证科创板50成份交易型开放式指数证券投资基金,000688.SH,上证科创板50成份指数,2025-12-17,2026-01-06,L,SH,平安基金,中国银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,2995044.0800,368669.9260,99834.802666666667,1.2540,91302.0000,11517.3690,etf_basic,2026-06-03 21:44:08.972707+08
905,159270.SZ,南方创业板中盘200ETF,创业板200ETF南方,南方创业板中盘200交易型开放式指数证券投资基金,399019.SZ,创业板中盘200指数,2025-07-16,2025-07-24,L,SZ,南方基金,招商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,2975499.3200,374951.1243,99183.310666666667,1.2210,106649.0000,13127.5996,etf_basic,2026-06-03 21:44:08.972707+08
906,516950.SH,基建ETF,基建ETF银华,银华中证基建交易型开放式指数证券投资基金,930608.CSI,中证基建指数,2021-04-29,2021-05-14,L,SH,银华基金,招商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2971101.0000,334371.5640,99036.700000000000,1.0770,172226.0000,18568.5090,etf_basic,2026-06-03 21:44:08.972707+08
907,560100.SH,南方中证500增强策略ETF,中证500增强ETF南方,南方中证500增强策略交易型开放式指数证券投资基金,000905.SH,中证小盘500指数,2022-01-26,2022-02-16,L,SH,南方基金,中国工商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2969390.0000,424733.4190,98979.666666666667,1.4050,80019.0000,11289.2890,etf_basic,2026-06-03 21:44:08.972707+08
908,159119.SZ,招商中证800自由现金流ETF,800现金流ETF招商,招商中证800自由现金流交易型开放式指数证券投资基金,932368.CSI,中证800自由现金流指数,2025-11-03,2025-11-13,L,SZ,招商基金,平安银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,2956195.5100,311508.1325,98539.850333333333,1.0190,57034.0000,5792.9896,etf_basic,2026-06-03 21:44:08.972707+08
909,560410.SH,鹏华中证电池主题ETF,电池ETF鹏华,鹏华中证电池主题交易型开放式指数证券投资基金,931719.CSI,中证电池主题指数,2026-04-02,2026-04-17,L,SH,鹏华基金,华泰证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2939391.6800,322025.1260,97979.722666666667,1.0600,27762.0000,2958.1860,etf_basic,2026-06-03 21:44:08.972707+08
910,159944.SZ,广发中证全指原材料ETF,材料ETF广发,广发中证全指原材料交易型开放式指数证券投资基金,000987.SH,中证全指原材料指数,2015-06-25,2015-07-06,L,SZ,广发基金,中国银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2938737.2200,474754.9334,97957.907333333333,1.5520,58117.0000,9043.7457,etf_basic,2026-06-03 21:44:08.972707+08
911,159310.SZ,天弘中证芯片产业ETF,芯片ETF天弘,天弘中证芯片产业交易型开放式指数证券投资基金,H30007.CSI,中证芯片产业指数,2024-04-18,2024-04-30,L,SZ,天弘基金,光大证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2934726.0000,825937.6601,97824.200000000000,2.9980,100167.0000,30054.4503,etf_basic,2026-06-03 21:44:08.972707+08
912,588850.SH,嘉实上证科创板工业机械ETF,科创机械ETF嘉实,嘉实上证科创板工业机械交易型开放式指数证券投资基金,000693.SH,上证科创板工业机械指数,2025-04-16,2025-04-24,L,SH,嘉实基金,广发证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,2917894.0000,544262.8840,97263.133333333333,1.9020,126961.0000,24330.5000,etf_basic,2026-06-03 21:44:08.972707+08
