ts_code,phase,view,trend,volatility,metric,n_low,n_high,effect_high_minus_low,ci95_low,ci95_high,bootstrap_valid_fraction,p_approximate,holm_p
000001.SH,V2,volume,down,high,mean_abs_return,66,39,0.0009629134795975432,-0.0025716244365531606,0.004492177133825591,1.0,0.5947405259474052,
000001.SH,V2,volume,up,low,up_rate,44,158,0.1504602991944764,-0.07086515644030378,0.3169780807270783,1.0,0.1287871212878712,
000001.SH,V2,volume,up,low,mean_abs_return,44,158,-0.000694988548214241,-0.0033331083156912513,0.0019892850182328683,1.0,0.5977402259774023,
000001.SH,V2,volume,up,high,up_rate,41,61,0.03678528588564578,-0.1200755083732057,0.17329423679624462,1.0,0.6057394260573943,
000001.SH,V2,volume,up,high,mean_abs_return,41,61,-0.00017846063169479204,-0.0033627386975077123,0.0025829726220348162,1.0,0.9015098490150985,
000300.SH,D,amount,down,low,up_rate,142,35,0.17746478873239435,-0.014613244371444366,0.3563386683738797,1.0,0.06159384061593841,
000300.SH,D,amount,down,low,mean_abs_return,142,35,-0.0017795607563671472,-0.004605158205039557,0.0012245650343719714,1.0,0.21757824217578242,
000300.SH,D,amount,down,high,up_rate,107,34,-0.08081363386476081,-0.2758636373141507,0.11402836433653488,1.0,0.407959204079592,
000300.SH,D,amount,down,high,mean_abs_return,107,34,-0.002394186523853689,-0.006365139708307285,0.0010491219612536312,1.0,0.21557844215578442,
000300.SH,D,amount,up,low,up_rate,22,99,0.07575757575757575,-0.1616161616161616,0.32143549280177175,1.0,0.5274472552744726,
000300.SH,D,amount,up,low,mean_abs_return,22,99,-0.0025087654345514986,-0.008256929644448123,0.0016194508685167526,1.0,0.298970102989701,
000300.SH,D,amount,up,high,up_rate,42,145,0.19146141215106738,-0.012737815099848856,0.37434374806435283,1.0,0.05319468053194681,
000300.SH,D,amount,up,high,mean_abs_return,42,145,-0.003009802123865592,-0.006784290534992769,2.5540186196286318e-05,1.0,0.07689231076892311,
000300.SH,D,volume,down,low,up_rate,141,37,0.2714203565267395,0.10307406773270127,0.40935095146125283,1.0,0.0008999100089991,
000300.SH,D,volume,down,low,mean_abs_return,141,37,-0.0012338618888976978,-0.003970147182746481,0.0016937336341309667,1.0,0.38166183381661833,
000300.SH,D,volume,down,high,up_rate,100,45,-0.2022222222222222,-0.35254472756844674,-0.05531416321703138,1.0,0.008399160083991601,
000300.SH,D,volume,down,high,mean_abs_return,100,45,-0.0034209561218809647,-0.00658952551168541,-0.0009620689123010738,1.0,0.021997800219978002,
000300.SH,D,volume,up,low,up_rate,28,93,0.11251920122887865,-0.08834439496748654,0.3205553987075725,1.0,0.27647235276472354,
000300.SH,D,volume,up,low,mean_abs_return,28,93,-0.0012388688724422493,-0.004675904103627319,0.0018253714871349653,1.0,0.45655434456554345,
000300.SH,D,volume,up,high,up_rate,44,138,0.20882740447957837,0.008127677985857878,0.40563969085832813,1.0,0.0392960703929607,
000300.SH,D,volume,up,high,mean_abs_return,44,138,-0.004912084707332792,-0.009313398923129474,-0.001966396046957658,1.0,0.017798220177982202,
000300.SH,V1,amount,down,low,up_rate,113,44,0.06999195494770716,-0.08123541083099906,0.24043901600400097,1.0,0.39436056394360564,1.0
000300.SH,V1,amount,down,low,mean_abs_return,113,44,0.0010625864268351435,-0.0009703193924476884,0.0035713060215952987,1.0,0.3575642435756424,1.0
000300.SH,V1,amount,down,high,up_rate,74,17,-0.019872813990461036,-0.2916760935143288,0.2666666666666666,0.9999,0.8866,1.0
000300.SH,V1,amount,down,high,mean_abs_return,74,17,-0.005399636713371941,-0.014701715534006177,0.006405522961307617,0.9999,0.3054,1.0
000300.SH,V1,amount,up,low,up_rate,63,195,-0.0012210012210012167,-0.14638743244333305,0.20898737999872835,1.0,0.9904009599040096,1.0
000300.SH,V1,amount,up,low,mean_abs_return,63,195,-0.0010887573310781372,-0.0035906917791131204,0.0008996741520098868,1.0,0.36476352364763526,1.0
000300.SH,V1,amount,up,high,up_rate,41,85,0.07517934002869442,-0.04465084152967679,0.20561616161616128,1.0,0.23407659234076592,1.0
000300.SH,V1,amount,up,high,mean_abs_return,41,85,-0.0032980087069117495,-0.007222147091316334,0.001230796012988539,1.0,0.12258774122587741,1.0
000300.SH,V1,volume,down,low,up_rate,125,46,0.06469565217391304,-0.08301469729101309,0.23059866660057476,1.0,0.41755824417558246,
000300.SH,V1,volume,down,low,mean_abs_return,125,46,0.001356203602529851,-0.000714465668477342,0.004059287245625276,1.0,0.2576742325767423,
000300.SH,V1,volume,down,high,up_rate,76,25,0.061578947368421066,-0.14481462560210193,0.3076923076923077,0.9999,0.5884,
000300.SH,V1,volume,down,high,mean_abs_return,76,25,0.008186387847508556,-0.005566382506035081,0.020848453911487735,0.9999,0.2554,
000300.SH,V1,volume,up,low,up_rate,73,188,-0.03584960652870883,-0.1606038491613232,0.1265611960669686,1.0,0.6256374362563744,
000300.SH,V1,volume,up,low,mean_abs_return,73,188,-0.00110645201834158,-0.0035739590407777777,0.0009445228611710763,1.0,0.3247675232476752,
000300.SH,V1,volume,up,high,up_rate,54,76,0.11598440545808969,-0.02388923334303746,0.26619469870327994,1.0,0.1116888311168883,
000300.SH,V1,volume,up,high,mean_abs_return,54,76,-0.0050844373300718525,-0.010321800551890387,0.00048372832436886635,1.0,0.06619338066193381,
000300.SH,V2,amount,down,low,up_rate,80,56,-0.07499999999999996,-0.23744518771844114,0.10128025102281388,1.0,0.38706129387061294,1.0
000300.SH,V2,amount,down,low,mean_abs_return,80,56,0.002077626154769736,-0.0013330618707147043,0.006984935637458304,1.0,0.30156984301569845,1.0
000300.SH,V2,amount,down,high,up_rate,70,30,0.07619047619047614,-0.15641030392883623,0.26296391020176185,1.0,0.4567543245675432,1.0
000300.SH,V2,amount,down,high,mean_abs_return,70,30,0.0031334620552433898,-0.0010867460172355944,0.007750664109496544,1.0,0.1645835416458354,1.0
