ts_code,phase,view,group,trend,volatility,activity,n,coverage,negative_days,mean_loss_on_negative_days,enough_samples,up_rate,up_rate_ci95_low,up_rate_ci95_high,up_rate_valid_fraction,mean_return,mean_return_ci95_low,mean_return_ci95_high,mean_return_valid_fraction,mean_abs_return,mean_abs_return_ci95_low,mean_abs_return_ci95_high,mean_abs_return_valid_fraction,mean_downside,mean_downside_ci95_low,mean_downside_ci95_high,mean_downside_valid_fraction
000001.SH,V1,amount,3,down,high,high,21,0.022364217252396165,8,0.013762663020187124,False,0.6190476190476191,0.4,0.8,1.0,0.0022114215031643187,-0.005687686158016245,0.00907551811160264,1.0,0.012697259994735461,0.007268712183249891,0.019895435423348352,1.0,0.005242919245785571,0.0010071435837520305,0.01173142073251699,1.0
000001.SH,V1,amount,4,up,low,low,35,0.03727369542066028,17,0.008375034584176629,False,0.5142857142857142,0.3235294117647059,0.6875,1.0,-0.0005196288452942938,-0.004588629127510761,0.003350829806117433,1.0,0.007616119036477288,0.005961937880651807,0.011101537439205821,1.0,0.004067873940885791,0.0021588631444164224,0.007186017654337321,1.0
000001.SH,V1,amount,5,up,low,high,180,0.19169329073482427,77,0.00463848311520356,True,0.5722222222222222,0.5121951219512195,0.6291390728476821,1.0,0.0017060576279553387,0.0002674882701197264,0.003545091810548221,1.0,0.005674537626518384,0.004441173144538414,0.007133209206504613,1.0,0.001984239999281523,0.0014708664275300076,0.0025436578479037845,1.0
000001.SH,V1,amount,6,up,high,low,35,0.03727369542066028,17,0.016651305798095737,False,0.5142857142857142,0.3333333333333333,0.6666666666666666,1.0,-0.00047020796077608433,-0.007265654691747014,0.0063434678217770685,1.0,0.015705346243088347,0.01174683433471128,0.019790345019884067,1.0,0.008087777101932215,0.00453820080174359,0.012123379983889683,1.0
000001.SH,V1,amount,7,up,high,high,103,0.10969116080937168,38,0.014563410761494302,True,0.6310679611650486,0.56,0.6923076923076923,1.0,0.0015995419827401212,-0.0016916902729920994,0.0039189524123862856,1.0,0.012345359631998055,0.009678916124484628,0.01514622436779673,1.0,0.005372908824628966,0.0034010341117866245,0.007973286535940562,1.0
000001.SH,V1,volume,0,down,low,low,119,0.12673056443024494,50,0.005354472540689757,True,0.5798319327731093,0.4948453608247423,0.6545487246566383,1.0,0.0016119963155587316,0.00014497634433469306,0.0034711526388921253,1.0,0.00611155307244088,0.005169986136742108,0.007161974419640083,1.0,0.002249778378441074,0.0014720067983780977,0.00296472883569138,1.0
000001.SH,V1,volume,1,down,low,high,27,0.02875399361022364,6,0.00971569713457802,False,0.7777777777777778,0.5861350574712644,0.9375,1.0,0.0024130507269305886,-0.001957685075188772,0.006024411245805238,1.0,0.006731138342298598,0.004056885301310902,0.009685122643301408,1.0,0.0021590438076840046,0.00020964670813121558,0.005246240106103691,1.0
000001.SH,V1,volume,2,down,high,low,82,0.08732694355697551,35,0.019631942005664836,True,0.573170731707317,0.4615217391304348,0.6935520197616972,1.0,0.0018953465427999727,-0.0044563489302588246,0.007964866364996109,1.0,0.018654321425684586,0.013432472748526304,0.02450919332662576,1.0,0.008379487441442308,0.0037221379675518897,0.013945649076373865,1.0
000001.SH,V1,volume,3,down,high,high,32,0.03407880724174654,13,0.024068813049467515,False,0.59375,0.4583333333333333,0.7307692307692307,1.0,0.0018781265826286302,-0.007080680570511859,0.009720102965937465,1.0,0.021434037185320987,0.010159480397135916,0.03176404022995669,1.0,0.009777955301346179,0.002170434066223562,0.016865687178769774,1.0
000001.SH,V1,volume,4,up,low,low,60,0.06389776357827476,26,0.007499164818580189,True,0.5666666666666667,0.42857142857142855,0.6842105263157895,1.0,0.00017954682490912884,-0.0024508763335440295,0.0028130334705655366,1.0,0.006678823001011959,0.005355955593331413,0.008964718987092007,1.0,0.003249638088051415,0.0018594718134251206,0.005200621729091641,1.0
000001.SH,V1,volume,5,up,low,high,174,0.1853035143769968,69,0.004670623646126055,True,0.603448275862069,0.5467971435659355,0.6610169491525424,1.0,0.0019518160884819098,0.0004750478209759741,0.003865216326980979,1.0,0.005656103807823264,0.004359062706090763,0.007207676404539253,1.0,0.0018521438596706772,0.0013048142242446433,0.002434793778509128,1.0
000001.SH,V1,volume,6,up,high,low,53,0.05644302449414271,28,0.018497252595238965,True,0.4716981132075472,0.3333333333333333,0.6,1.0,-0.0031535935867123273,-0.009323244599629875,0.003365726461264068,1.0,0.016390673306370354,0.012301322143074942,0.020461747816160045,1.0,0.00977213344654134,0.00593978594261393,0.013623784591146638,1.0
000001.SH,V1,volume,7,up,high,high,90,0.09584664536741214,34,0.013693672488473127,True,0.6222222222222222,0.5303030303030303,0.696078431372549,1.0,0.0016027120701169084,-0.0014299359252068866,0.003920639105059301,1.0,0.011949042394741049,0.009254384673697956,0.014594148896826325,1.0,0.0051731651623120704,0.0032860072107254905,0.007360245534678361,1.0
