doc_id,title,api_name,category_path,source_url,local_path
367,深证互动易,irm_qa_sz,大模型语料专题数据,https://tushare.pro/document/2?doc_id=367,大模型语料专题数据/0367_深证互动易.md
368,期货合约涨跌停价格（盘前）,ft_limit,期货数据,https://tushare.pro/document/2?doc_id=368,期货数据/0368_期货合约涨跌停价格（盘前）.md
369,当日集合竞价,stk_auction,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=369,股票数据/打板专题数据/0369_当日集合竞价.md
370,股票历史分钟行情,stk_mins,股票数据 / 行情数据,https://tushare.pro/document/2?doc_id=370,股票数据/行情数据/0370_股票历史分钟行情.md
371,同花顺概念板块资金流向（THS）,moneyflow_cnt_ths,股票数据 / 资金流向数据,https://tushare.pro/document/2?doc_id=371,股票数据/资金流向数据/0371_同花顺概念板块资金流向（THS）.md
372,A股实时日线,rt_k,股票数据 / 行情数据,https://tushare.pro/document/2?doc_id=372,股票数据/行情数据/0372_A股实时日线.md
373,中信行业成分,ci_index_member,指数专题,https://tushare.pro/document/2?doc_id=373,指数专题/0373_中信行业成分.md
374,A股实时分钟,rt_min,股票数据 / 行情数据,https://tushare.pro/document/2?doc_id=374,股票数据/行情数据/0374_A股实时分钟.md
375,北交所新旧代码对照表,bse_mapping,股票数据 / 基础数据,https://tushare.pro/document/2?doc_id=375,股票数据/基础数据/0375_北交所新旧代码对照表.md
376,通达信板块信息,tdx_index,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=376,股票数据/打板专题数据/0376_通达信板块信息.md
377,通达信板块成分,tdx_member,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=377,股票数据/打板专题数据/0377_通达信板块成分.md
378,通达信板块行情,tdx_daily,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=378,股票数据/打板专题数据/0378_通达信板块行情.md
382,东财概念板块行情,dc_daily,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=382,股票数据/打板专题数据/0382_东财概念板块行情.md
383,港股实时日线,rt_hk_k,港股数据,https://tushare.pro/document/2?doc_id=383,港股数据/0383_港股实时日线.md
385,ETF基础信息,etf_basic,ETF专题,https://tushare.pro/document/2?doc_id=385,ETF专题/0385_ETF基础信息.md
386,ETF基准指数列表,etf_index,ETF专题,https://tushare.pro/document/2?doc_id=386,ETF专题/0386_ETF基准指数列表.md
387,ETF历史分钟行情,stk_mins,ETF专题,https://tushare.pro/document/2?doc_id=387,ETF专题/0387_ETF历史分钟行情.md
388,港股财务指标数据,hk_fina_indicator,港股数据,https://tushare.pro/document/2?doc_id=388,港股数据/0388_港股财务指标数据.md
389,港股利润表,hk_income,港股数据,https://tushare.pro/document/2?doc_id=389,港股数据/0389_港股利润表.md
390,港股资产负债表,hk_balancesheet,港股数据,https://tushare.pro/document/2?doc_id=390,港股数据/0390_港股资产负债表.md
391,港股现金流量表,hk_cashflow,港股数据,https://tushare.pro/document/2?doc_id=391,港股数据/0391_港股现金流量表.md
392,可转债技术因子(专业版),cb_factor_pro,债券专题,https://tushare.pro/document/2?doc_id=392,债券专题/0392_可转债技术因子(专业版).md
393,美股财务指标数据,us_fina_indicator,美股数据,https://tushare.pro/document/2?doc_id=393,美股数据/0393_美股财务指标数据.md
394,美股利润表,us_income,美股数据,https://tushare.pro/document/2?doc_id=394,美股数据/0394_美股利润表.md
395,美股资产负债表,us_balancesheet,美股数据,https://tushare.pro/document/2?doc_id=395,美股数据/0395_美股资产负债表.md
396,美股现金流量表,us_cashflow,美股数据,https://tushare.pro/document/2?doc_id=396,美股数据/0396_美股现金流量表.md
397,ST股票列表,stock_st,股票数据 / 基础数据,https://tushare.pro/document/2?doc_id=397,股票数据/基础数据/0397_ST股票列表.md
398,沪深港通股票列表,stock_hsgt,股票数据 / 基础数据,https://tushare.pro/document/2?doc_id=398,股票数据/基础数据/0398_沪深港通股票列表.md
399,AH股比价,stk_ah_comparison,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=399,股票数据/特色数据/0399_AH股比价.md
400,ETF实时日线,rt_etf_k,ETF专题,https://tushare.pro/document/2?doc_id=400,ETF专题/0400_ETF实时日线.md
401,港股复权因子,hk_adjfactor,港股数据,https://tushare.pro/document/2?doc_id=401,港股数据/0401_港股复权因子.md
402,美股复权因子,us_adjfactor,美股数据,https://tushare.pro/document/2?doc_id=402,美股数据/0402_美股复权因子.md
403,交易所指数实时日线,rt_idx_k,指数专题,https://tushare.pro/document/2?doc_id=403,指数专题/0403_交易所指数实时日线.md
406,国家政策法规库,npr,大模型语料专题数据,https://tushare.pro/document/2?doc_id=406,大模型语料专题数据/0406_国家政策法规库.md
408,ETF份额规模,etf_share_size,ETF专题,https://tushare.pro/document/2?doc_id=408,ETF专题/0408_ETF份额规模.md
415,券商研究报告,research_report,大模型语料专题数据,https://tushare.pro/document/2?doc_id=415,大模型语料专题数据/0415_券商研究报告.md
416,ETF实时分钟,rt_min,ETF专题,https://tushare.pro/document/2?doc_id=416,ETF专题/0416_ETF实时分钟.md
417,申万实时行情,rt_sw_k,指数专题,https://tushare.pro/document/2?doc_id=417,指数专题/0417_申万实时行情.md
419,股票历史分钟行情,idx_mins,指数专题,https://tushare.pro/document/2?doc_id=419,指数专题/0419_股票历史分钟行情.md
420,A股实时分钟,rt_idx_min,指数专题,https://tushare.pro/document/2?doc_id=420,指数专题/0420_A股实时分钟.md
421,东方财富题材库,dc_concept,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=421,股票数据/打板专题数据/0421_东方财富题材库.md
422,东方财富题材成分,dc_concept_cons,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=422,股票数据/打板专题数据/0422_东方财富题材成分.md
423,ST风险警示板股票,st,股票数据 / 基础数据,https://tushare.pro/document/2?doc_id=423,股票数据/基础数据/0423_ST风险警示板股票.md
451,个股异常波动,stk_shock,股票数据 / 参考数据,https://tushare.pro/document/2?doc_id=451,股票数据/参考数据/0451_个股异常波动.md
452,个股严重异常波动,stk_high_shock,股票数据 / 参考数据,https://tushare.pro/document/2?doc_id=452,股票数据/参考数据/0452_个股严重异常波动.md
453,交易所重点提示证券,stk_alert,股票数据 / 参考数据,https://tushare.pro/document/2?doc_id=453,股票数据/参考数据/0453_交易所重点提示证券.md
454,ETF实时参考,rt_etf_sz_iopv,ETF专题,https://tushare.pro/document/2?doc_id=454,ETF专题/0454_ETF实时参考.md
457,A股实时分钟-日累计,rt_min_daily,股票数据 / 行情数据,https://tushare.pro/document/2?doc_id=457,股票数据/行情数据/0457_A股实时分钟-日累计.md
458,获取可转债评级历史记录,cb_rating,债券专题,https://tushare.pro/document/2?doc_id=458,债券专题/0458_获取可转债评级历史记录.md
459,可转债十大持有人,top10_cb_holders,债券专题,https://tushare.pro/document/2?doc_id=459,债券专题/0459_可转债十大持有人.md
